as_of,code,name,market_cap_hkd,index_code,inclusion_date,execution_id,data_available,history_ok,average_daily_amount_hkd,liquidity_ok,trading_at_review,eligible,selected,effective_from,factors_complete,trading_at_signal,ready_for_scoring
2026-06-30,06823.HK,香港电讯-SS,88411000000.0,HSCI.HK,2018-09-10,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,110495315.93333334,True,True,True,True,2026-07-01,True,True,True
2026-06-30,00836.HK,华润电力,87596000000.0,HSCI.HK,2004-03-08,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,341917355.6666667,True,True,True,True,2026-07-01,True,True,True
2026-06-30,00753.HK,中国国航,86888000000.0,HSCI.HK,2005-03-07,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,150842984.96666667,True,True,True,True,2026-07-01,True,True,True
2026-06-30,00902.HK,华能国际电力股份,86026000000.0,HSCI.HK,2001-10-03,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,296424977.2,True,True,True,True,2026-07-01,True,True,True
2026-06-30,01308.HK,海丰国际,85088000000.0,HSCI.HK,2013-09-09,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,151555228.0,True,True,True,True,2026-07-01,True,True,True
2026-06-30,01209.HK,华润万象生活,83722000000.0,HSCI.HK,2021-03-15,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,166956249.83333334,True,True,True,True,2026-07-01,True,True,True
2026-06-30,01177.HK,中国生物制药,82489000000.0,HSCI.HK,2010-03-08,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,445903890.0,True,True,True,True,2026-07-01,True,True,True
2026-06-30,01519.HK,极兔速递-W,81617000000.0,HSCI.HK,2024-03-04,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,335328063.73333335,True,True,True,True,2026-07-01,True,True,True
2026-06-30,00390.HK,中国中铁,81199000000.0,HSCI.HK,2008-03-10,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,120347207.26666667,True,True,True,True,2026-07-01,True,True,True
2026-06-30,09926.HK,康方生物,81107000000.0,HSCI.HK,2020-09-07,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,1406867644.8,True,True,True,True,2026-07-01,True,True,True
2026-06-30,01876.HK,百威亚太,80785000000.0,HSCI.HK,2019-10-16,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,108608720.4,True,True,True,True,2026-07-01,True,True,True
2026-06-30,00316.HK,东方海外国际,80566000000.0,HSCI.HK,2022-03-07,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,163240120.0,True,True,True,True,2026-07-01,True,True,True
2026-06-30,06881.HK,中国银河,80477000000.0,HSCI.HK,2013-09-09,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,164585560.4,True,True,True,True,2026-07-01,True,True,True
2026-06-30,01093.HK,石药集团,80311000000.0,HSCI.HK,2010-03-08,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,717629529.3333334,True,True,True,True,2026-07-01,True,True,True
2026-06-30,00293.HK,国泰航空,78933000000.0,HSCI.HK,2001-10-03,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,184961617.8,True,True,True,True,2026-07-01,True,True,True
2026-06-30,02618.HK,京东物流,78455000000.0,HSCI.HK,2021-06-11,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,176348371.26666668,True,True,True,True,2026-07-01,True,True,True
2026-06-30,01787.HK,山东黄金,76986000000.0,HSCI.HK,2019-09-09,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,365984318.1333333,True,True,True,True,2026-07-01,True,True,True
2026-06-30,01138.HK,中远海能,75663000000.0,HSCI.HK,2023-03-13,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,549787893.4666667,True,True,True,True,2026-07-01,True,True,True
2026-06-30,02333.HK,长城汽车,75356000000.0,HSCI.HK,2011-03-07,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,204368544.33333334,True,True,True,True,2026-07-01,True,True,True
2026-06-30,02268.HK,药明合联,71958000000.0,HSCI.HK,2024-03-04,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,278148479.8666667,True,True,True,True,2026-07-01,True,True,True
