market,signal_date,entry_date,exit_date,code,rank,entry_adjusted_close,exit_adjusted_close,qveris_gross_return,observable_signal_bar,original_label_start,original_label_end,original_fwd_ret,return_difference
a,2025-08-29,2025-09-01,2025-10-09,600062.SH,26,132.87973128107,127.29541852343,-0.04202531645573504,True,2025-09-01,2025-10-09,-0.04166674613952637,-0.00035857031620867286
a,2025-08-29,2025-09-01,2025-10-09,601016.SH,27,7.9970282690994,8.6878014750681,0.08637873754152592,True,2025-09-01,2025-10-09,0.08754205703735352,-0.0011633194958275972
a,2025-08-29,2025-09-01,2025-10-09,002508.SZ,28,157.08405224954,150.85125864205,-0.039678080099364466,True,2025-09-01,2025-10-09,-0.03972810506820679,5.002496884232155e-05
a,2025-08-29,2025-09-01,2025-10-09,601988.SH,29,14.024150807168,13.287374768386,-0.052536231884031115,True,2025-09-01,2025-10-09,-0.05283021926879883,0.00029398738476771324
a,2025-08-29,2025-09-01,2025-10-09,601666.SH,30,29.549157738747,30.805758518874,0.04252577319587214,True,2025-09-01,2025-10-09,0.04285717010498047,-0.000331396909108328
a,2025-09-30,2025-10-09,2025-11-03,300570.SZ,1,221.65234260722,201.6698151877,-0.09015256588075005,True,2025-10-09,2025-11-03,-0.09011518955230713,-3.7376328442917384e-05
a,2025-09-30,2025-10-09,2025-11-03,603077.SH,2,32.936928268346,31.498634457502,-0.043668122270718035,True,2025-10-09,2025-11-03,-0.04366809129714966,-3.097356837677978e-08
a,2025-09-30,2025-10-09,2025-11-03,001203.SZ,3,14.566220795959,21.914358965349,0.5044642857142836,True,2025-10-09,2025-11-03,0.5048688650131226,-0.0004045792988389696
a,2025-09-30,2025-10-09,2025-11-03,000537.SZ,4,38.14741903931,35.248533655346,-0.0759916517806033,True,2025-10-09,2025-11-03,-0.0769229531288147,0.0009313013482113996
a,2025-09-30,2025-10-09,2025-11-03,601128.SH,5,10.704005687183,11.192701086745,0.04565537555227239,True,2025-10-09,2025-11-03,0.04448103904724121,0.0011743365050311816
a,2025-09-30,2025-10-09,2025-11-03,002407.SZ,6,170.77475514209,228.95721958422,0.3406971035837256,True,2025-10-09,2025-11-03,0.3404045104980469,0.00029259308567874953
